,IB_Currency,IB_longName,IB_marketName,IB_isin,Origin_Name,Origin_Stock,Origin_Country,Origin_Currency
3443,HKD,CLASSIFIED GROUP HOLDINGS LT,8232,KYG2190B1041,CLASSIFIED GROUP HOLDINGS LT,8232,Hong Kong,HKD
3444,SEK,CLAVISTER HOLDING AB,CLAV,SE0005308558,CLAVISTER HOLDING AB,CLAV,Sweden,SEK
3445,USD,CLAYTON & LAMBERT MFG CO,NOINFO,US1838641074,CLAYTON & LAMBERT MFG CO,CLLA,United States of America,USD
3446,USD,CLAYTON WILLIAMS ENERGY INC,CWEI,US9694901011,CLAYTON WILLIAMS ENERGY INC,CWEI,,USD
3447,USD,CLEAN COAL TECHNOLOGIES INC,CURRENT,US18450P3091,CLEAN COAL TECHNOLOGIES INC,CCTC,United States of America,USD
3448,USD,CLEAN ENERGY COMBUSTION SYS,CECU,US18449A3068,CLEAN ENERGY COMBUSTION SYS,CECU,,USD
3449,USD,CLEAN ENERGY FUELS CORP,NMS,US1844991018,CLEAN ENERGY FUELS CORP,CLNE,Germany,USD
3450,USD,CLEAN ENERGY PATHWAYS INC,CURRENT,US18451W1053,CLEAN ENERGY PATHWAYS INC,CPWY,United States of America,USD
3451,USD,CLEAN ENERGY TECHNOLOGIES IN,CURRENT,US18452H1077,CLEAN ENERGY TECHNOLOGIES IN,CETY,United States of America,USD
3452,USD,CLEAN HARBORS INC,CLH,US1844961078,CLEAN HARBORS INC,CLH,United States of America,USD
3453,AUD,CLEAN SEAS SEAFOOD LTD,CSS,AU000000CSS3,CLEAN SEAS SEAFOOD LTD,CSS,Australia,AUD
3454,USD,CLEAN TECH BIOFUELS INC,NOINFO,US18450W1062,CLEAN TECH BIOFUELS INC,CLTH,United States of America,USD
3455,AUD,CLEANAWAY WASTE MANAGEMENT L,CWY,AU000000CWY3,CLEANAWAY WASTE MANAGEMENT L,CWY,Australia,AUD
3456,JPY,CLEANUP CORP,7955,JP3270200003,CLEANUP CORP,7955,Japan,JPY
3457,CAD,CLEAR BLUE TECHNOLOGIES INTE,CBLU,CA18453C1077,CLEAR BLUE TECHNOLOGIES INTE,CBLU,Canada,CAD
3458,USD,CLEAR CHANNEL OUTDOOR HOLDIN,CCO,US18453H1068,CLEAR CHANNEL OUTDOOR HOLDIN,CCO,United States of America,USD
3459,HKD,CLEAR MEDIA LTD,100,BMG219901094,CLEAR MEDIA LTD,100,Hong Kong,HKD
3460,USD,CLEAR SKIES SOLAR INC,CSKH,US1846811040,CLEAR SKIES SOLAR INC,CSKH,,USD
3461,USD,CLEARBRIDGE AMERICAN ENERGY,CBA,US1846911030,CLEARBRIDGE AMERICAN ENERGY,CBA,,USD
3462,USD,CLEARBRIDGE ENERGY MIDSTREAM,EMO,US18469P2092,CLEARBRIDGE ENERGY MIDSTREAM,EMO,United States of America,USD
3463,SGD,CLEARBRIDGE HEALTH LTD,1H3,SG1EB6000000,CLEARBRIDGE HEALTH LTD,1H3,Singapore,SGD
3464,USD,CLEARFIELD INC,NMS,US18482P1030,CLEARFIELD INC,CLFD,United States of America,USD
3465,USD,CLEARONE INC,SCM,US18506U1043,CLEARONE INC,CLRO,United States of America,USD
3466,USD,CLEARSIDE BIOMEDICAL INC,NMS,US1850631045,CLEARSIDE BIOMEDICAL INC,CLSD,United States of America,USD
3467,USD,CLEARSIGN TECHNOLOGIES CORP,SCM,US1850641028,CLEARSIGN TECHNOLOGIES CORP,CLIR,United States of America,USD
3468,CAD,CLEARSTREAM ENERGY SERVICES,CSM,CA18506V1022,CLEARSTREAM ENERGY SERVICES,CSM,Canada,CAD
3469,USD,CLEARTRONIC INC,CURRENT,US18506P2048,CLEARTRONIC INC,CLRI,United States of America,USD
3470,AUD,CLEARVIEW WEALTH LTD,CVW,AU000000CVW9,CLEARVIEW WEALTH LTD,CVW,Australia,AUD
3471,AUD,CLEARVUE TECHNOLOGIES LTD,CPV,AU0000003816,CLEARVUE TECHNOLOGIES LTD,CPV,Australia,AUD
3472,USD,CLEARWATER PAPER CORP,CLW,US18538R1032,CLEARWATER PAPER CORP,CLW,United States of America,USD
3473,CAD,CLEARWATER SEAFOODS INC,CLR,CA18538U1066,CLEARWATER SEAFOODS INC,CLR,Canada,CAD
3474,USD,CLEARWAVE TELECOMMUNICATIONS,NOINFO,US18538X1000,CLEARWAVE TELECOMMUNICATIONS,CWTC,United States of America,USD
3475,USD,CLEARWAY ENERGY INC-C,CWEN,US18539C2044,CLEARWAY ENERGY INC-C,CWEN,United States of America,USD
3476,USD,CLECO CORPORATION,CNL,US12561W1053,CLECO CORPORATION,CNL,,USD
3477,CNH,CLENERGY XIAMEN TECHNOLOGY-A,603628,CNE100002G27,CLENERGY XIAMEN TECHNOLOGY-A,603628,China,CNH
3478,EUR,CLEOP-CIA LEVANTINA EDF,CLEO,ES0158300410,CLEOP-CIA LEVANTINA EDF,CLEO,Spain,EUR
3479,AUD,CLEVELAND MINING CO LTD,CDG,AU000000CDG0,CLEVELAND MINING CO LTD,CDG,,AUD
3480,EUR,CLEVER GLOBAL SA,FIXING,ES0105152005,CLEVER GLOBAL SA,CLE,Spain,EUR
3481,USD,CLICKABLE ENTERPRISES INC,CKEI,US18682S1050,CLICKABLE ENTERPRISES INC,CKEI,,USD
3482,ZAR,CLICKS GROUP LTD,CLS,ZAE000134854,CLICKS GROUP LTD,CLS,South Africa,ZAR
3483,HKD,CLIFFORD MODERN LIVING HOLDI,3686,KYG2204M1042,CLIFFORD MODERN LIVING HOLDI,3686,Hong Kong,HKD
3484,CAD,CLIFFSIDE CAPITAL LTD,CEP,CA1868241086,CLIFFSIDE CAPITAL LTD,CEP,Canada,CAD
3485,USD,CLIFTON MINING COMPANY,CURRENT,US1869041087,CLIFTON MINING COMPANY,CFTN,United States of America,USD
3486,AUD,CLIME CAPITAL LTD,CAMPA,AU0000CAMPA0,CLIME CAPITAL LTD,CAMPA,Australia,AUD
3487,AUD,CLIME INVESTMENT MANAGEMENT,CIW,AU000000CIW6,CLIME INVESTMENT MANAGEMENT,CIW,Australia,AUD
3488,EUR,CLINICA BAVIERA SA,CBAV,ES0119037010,CLINICA BAVIERA SA,CBAV,Spain,EUR
3489,GBP,CLINIGEN GROUP PLC,CLIN,GB00B89J2419,CLINIGEN GROUP PLC,CLIN,United Kingdom,GBP
3490,AUD,CLINUVEL PHARMACEUTICALS LTD,CUV,AU000000CUV3,CLINUVEL PHARMACEUTICALS LTD,CUV,Australia,AUD
3491,USD,CLIPPER REALTY INC,CLPR,US18885T3068,CLIPPER REALTY INC,CLPR,United States of America,USD
3492,USD,CLONE ALGO TECHNOLOGIES INC,CURRENT,US18889W1071,CLONE ALGO TECHNOLOGIES INC,CATI,United States of America,USD
3493,GBP,CLOSE BROTHERS GROUP PLC,STMM,GB0007668071,CLOSE BROTHERS GROUP PLC,CBG,United Kingdom,GBP
3494,HKD,CLOUD INVESTMENT HOLDINGS LT,44354,KYG2215V1014,CLOUD INVESTMENT HOLDINGS LT,44354,Hong Kong,HKD
3495,GBP,CLOUDCALL GROUP PLC,CALL,GB00B4XS5145,CLOUDCALL GROUP PLC,CALL,United Kingdom,GBP
3496,USD,CLOUDERA INC,CLDR,US18914U1007,CLOUDERA INC,CLDR,United States of America,USD
3497,GBP,CLOUDTAG INC,CTAG,KYG2215A1076,CLOUDTAG INC,CTAG,,GBP
3498,USD,CLOUGH GLBL OPPORTUNITIES FD,GLO,US18914E1064,CLOUGH GLBL OPPORTUNITIES FD,GLO,United States of America,USD
3499,USD,CLOUGH GLOBAL EQUITY FUND,GLQ,US18914C1009,CLOUGH GLOBAL EQUITY FUND,GLQ,United States of America,USD
3500,AUD,CLOVER CORPORATION LIMITED,CLV,AU000000CLV2,CLOVER CORPORATION LIMITED,CLV,Australia,AUD
3501,USD,CLOVIS ONCOLOGY INC,NMS,US1894641000,CLOVIS ONCOLOGY INC,CLVS,United States of America,USD
3502,USD,CLPS INC,NMS,KYG316421042,CLPS INC,CLPS,United States of America,USD
3503,USD,CLRBRDG LRG CAP GWTH ESG ETF,NMS,US5246822002,CLRBRDG LRG CAP GWTH ESG ETF,LRGE,,USD
3504,GBP,CLS HOLDINGS PLC,STMM,GB00BF044593,CLS HOLDINGS PLC,CLI,United Kingdom,GBP
3505,USD,CLS HOLDINGS USA INC,CLSH,US12565J1007,CLS HOLDINGS USA INC,CLSH,United States of America,USD
3506,HKD,CLSA PREMIUM LTD,6877,KYG2R50B1046,CLSA PREMIUM LTD,6877,Hong Kong,HKD
3507,USD,CLUB RESOURCES LTD,CLBO,US18947P1021,CLUB RESOURCES LTD,CLBO,United States of America,USD
3508,JPY,CLUSTER TECHNOLOGY CO LTD,4240,JP3268810003,CLUSTER TECHNOLOGY CO LTD,4240,Japan,JPY
3509,AUD,CMA CORPORATION LTD,CMV,AU000000CMV0,CMA CORPORATION LTD,CMV,,AUD
3510,JPY,CMC CORP,2185,JP3347170007,CMC CORP,2185,Japan,JPY
3511,GBP,CMC MARKETS PLC,STMM,GB00B14SKR37,CMC MARKETS PLC,CMCX,United Kingdom,GBP
3512,USD,CME GROUP INC,NMS,US12572Q1058,CME GROUP INC,CME,United States of America,
3513,USD,CMG HOLDINGS GROUP INC,CURRENT,US1257491019,CMG HOLDINGS GROUP INC,CMGO,United States of America,USD
3514,USD,CMONEY INC,CMEY,US18977V1026,CMONEY INC,CMEY,,USD
3515,USD,CMS ENERGY CORP,CMS,US1258961002,CMS ENERGY CORP,CMS,Germany,
3516,USD,CMS ENERGY CORP,CMSD,US1258968452,CMS ENERGY CORP,CMSD,Germany,USD
3517,USD,CN RESOURCES INC,NOINFO,US12623A1097,CN RESOURCES INC,CNRR,United States of America,USD
3518,USD,CNA FINANCIAL CORP,CNA,US1261171003,CNA FINANCIAL CORP,CNA,Germany,USD
3519,USD,CNB BANK SHARES INC,PREMQX,US18978K1051,CNB BANK SHARES INC,CNBN,United States of America,USD
3520,USD,CNB FINANCIAL CORP/PA,NMS,US1261281075,CNB FINANCIAL CORP/PA,CCNE,United States of America,USD
3521,HKD,CNC HOLDINGS LTD,8356,KYG2238D1043,CNC HOLDINGS LTD,8356,Hong Kong,HKD
3522,USD,CNFINANCE HOLDINGS LTD,CNF,US18979T1051,CNFINANCE HOLDINGS LTD,CNF,United States of America,USD
3523,HKD,CNNC INTERNATIONAL LTD,2302,KYG2352X1262,CNNC INTERNATIONAL LTD,2302,Hong Kong,HKD
3524,USD,CNO FINANCIAL GROUP INC,CNO,US12621E1038,CNO FINANCIAL GROUP INC,CNO,Germany,USD
3525,HKD,CNOOC LTD,883,HK0883013259,CNOOC LTD,883,Hong Kong,HKD
3526,CNH,CNPC CAPITAL CO LTD-A,000617,CNE000000MS3,CNPC CAPITAL CO LTD-A,000617,China,CNH
3527,HKD,CNQC INTERNATIONAL HOLDINGS,1240,KYG2238G1073,CNQC INTERNATIONAL HOLDINGS,1240,Hong Kong,HKD
3528,INR,COAL INDIA LTD,COALINDIA,INE522F01014,COAL INDIA LTD,COALINDIA,India,INR
3529,AUD,COASSETS LTD,CA8,AU000000CA89,COASSETS LTD,CA8,,AUD
3530,USD,COASTAL CAROLINA BANCSHARES,PRIMQX,US1904351079,COASTAL CAROLINA BANCSHARES,CCNB,United States of America,USD
3531,USD,COASTAL FINANCIAL CORP/WA,NMS,US19046P2092,COASTAL FINANCIAL CORP/WA,CCB,United States of America,USD
3532,HKD,COASTAL GREENLAND LTD,1124,BMG2239B1239,COASTAL GREENLAND LTD,1124,Hong Kong,HKD
3533,USD,COATES INTERNATIONAL LTD,COTE,US1906432059,COATES INTERNATIONAL LTD,COTE,United States of America,USD
3534,AUD,COATS GROUP PLC-CDI,CGW,GB00B4Y2NBAD,COATS GROUP PLC-CDI,CGW,,AUD
3535,AUD,COBALT BLUE HOLDINGS LTD,COB,AU000000COB8,COBALT BLUE HOLDINGS LTD,COB,Australia,AUD
3536,CAD,COBALTECH MINING INC,CSK,CA19076D1006,COBALTECH MINING INC,CSK,,CAD
3537,GBP,COBHAM PLC,COB.GBP,GB00B07KD360,COBHAM PLC,COB.GBP,,GBP
3538,USD,COBHAM PLC-UNSPON ADR,CBHMY,US19089R1041,COBHAM PLC-UNSPON ADR,CBHMY,,USD
3539,GBP,COBRA RESOURCES PLC,SSQ3,GB00BGJW5255,COBRA RESOURCES PLC,COBR,United Kingdom,GBP
3540,CAD,COBRA VENTURE CORPORATION,CBV,CA19104W1041,COBRA VENTURE CORPORATION,CBV,Canada,CAD
3541,JPY,COCA-COLA BOTTLERS JAPAN HOL,2579,JP3293200006,COCA-COLA BOTTLERS JAPAN HOL,2579,Japan,JPY
3542,GBP,COCA-COLA HBC AG-DI,SET1,CH0198251305,COCA-COLA HBC AG-DI,CCH,United Kingdom,GBP
3543,INR,COCHIN SHIPYARD LTD,COCHINSHI,INE704P01017,COCHIN SHIPYARD LTD,COCHINSHI,India,INR
3544,AUD,COCHLEAR LIMITED,COH,AU000000COH5,COCHLEAR LIMITED,COH,Australia,AUD
3545,JPY,COCOKARA FINE INC,3098,JP3297330007,COCOKARA FINE INC,3098,Japan,JPY
3546,USD,COCRYSTAL PHARMA INC,SCM,US19188J3005,COCRYSTAL PHARMA INC,COCP,United States of America,USD
3547,USD,CODA OCTOPUS GROUP INC,SCM,US19188U2069,CODA OCTOPUS GROUP INC,CODA,United States of America,USD
3548,AUD,CODAN LTD,CDA,AU000000CDA3,CODAN LTD,CDA,Australia,AUD
3549,USD,CODE GREEN APPAREL CORP,CURRENT,US19189Y2072,CODE GREEN APPAREL CORP,CGAC,United States of America,USD
3550,USD,CODE REBEL CORP,NOINFO,US19200J1060,CODE REBEL CORP,CDRBQ,,USD
3551,USD,CODESMART HOLDINGS INC,ITEN,US19189U1060,CODESMART HOLDINGS INC,ITEN,,USD
3552,USD,CODEXIS INC,NMS,US1920051067,CODEXIS INC,CDXS,United States of America,USD
3553,USD,CODORUS VALLEY BANCORP INC,NMS,US1920251048,CODORUS VALLEY BANCORP INC,CVLY,United States of America,USD
3554,USD,COEUR D'ALENE BANCORP INC,CURRENT,US1920801099,COEUR D'ALENE BANCORP INC,CDAB,United States of America,USD
3555,USD,COEUR MINING INC,CDE,US1921085049,COEUR MINING INC,CDE,Germany,USD
3556,CNH,COFCO BIOTECHNOLOGY CL LT-A,000930,CNE000000ZR7,COFCO BIOTECHNOLOGY CL LT-A,000930,China,CNH
3557,INR,COFFEE DAY ENTERPRISES LTD,COFFEEDAY,INE335K01011,COFFEE DAY ENTERPRISES LTD,COFFEEDAY,,INR
3558,USD,COFFEE HOLDING CO INC,SCM,US1921761052,COFFEE HOLDING CO INC,JVA,United States of America,USD
3559,ILS,COFIX GROUP LTD,CFX,IL0003890154,COFIX GROUP LTD,CFX,Israel,ILS
3560,USD,COGECO COMMUNICATIONS INC,CURRENT,CA19239C1068,COGECO COMMUNICATIONS INC,CGEAF,United States of America,USD
3561,USD,COGENT COMMUNICATIONS HOLDIN,NMS,US19239V3024,COGENT COMMUNICATIONS HOLDIN,CCOI,United States of America,USD
3562,USD,COGNEX CORP,NMS,US1924221039,COGNEX CORP,CGNX,Germany,USD
3563,AUD,COGSTATE LTD,CGS,AU000000CGS8,COGSTATE LTD,CGS,Australia,AUD
3564,USD,COHBAR INC,SCM,US19249J1097,COHBAR INC,CWBR,United States of America,USD
3565,ILS,COHEN DEVELOPMENT GAS & OIL,CDEV,IL0008100104,COHEN DEVELOPMENT GAS & OIL,CDEV,Israel,ILS
3566,USD,COHERENT INC,COHR,US1924791031,COHERENT INC,COHR,Germany,USD
3567,USD,COHERUS BIOSCIENCES INC,NMS,US19249H1032,COHERUS BIOSCIENCES INC,CHRS,United States of America,USD
3568,AUD,COHIBA MINERALS LTD,CHK,AU000000CHK3,COHIBA MINERALS LTD,CHK,Australia,AUD
3569,GBP,COHORT PLC,AMSM,GB00B0YD2B94,COHORT PLC,CHRT,United Kingdom,GBP
3570,USD,COHU INC,NMS,US1925761066,COHU INC,COHU,United States of America,USD
3571,EUR,COIL,ALCOI,BE0160342011,COIL,ALCOI,France,EUR
3572,USD,COIL TUBING TECHNOLOGY INC,NOINFO,US1925812059,COIL TUBING TECHNOLOGY INC,CTBG,United States of America,USD
3573,USD,COIN CITADEL,CURRENT,US1925891095,COIN CITADEL,CCTL,United States of America,USD
3574,AUD,COKAL LTD,CKA,AU000000CKA8,COKAL LTD,CKA,Australia,AUD
3575,CAD,COLABOR GROUP INC,GCL,CA1926671035,COLABOR GROUP INC,GCL,Canada,CAD
3576,SGD,COLEX HOLDINGS LTD,567,SG1G56870536,COLEX HOLDINGS LTD,567,Singapore,SGD
3577,INR,COLGATE PALMOLIVE (INDIA),COLPAL,INE259A01022,COLGATE PALMOLIVE (INDIA),COLPAL,India,INR
3578,USD,COLGATE-PALMOLIVE CO,CL,US1941621039,COLGATE-PALMOLIVE CO,CL,Germany,
3579,CAD,COLIBRI RESOURCES CORP,CBI,CA1941683080,COLIBRI RESOURCES CORP,CBI,Canada,CAD
3580,JPY,COLLABOS CORP,3908,JP3305890000,COLLABOS CORP,3908,Japan,JPY
3581,AUD,COLLECTION HOUSE LIMITED,CLH,AU000000CLH1,COLLECTION HOUSE LIMITED,CLH,Australia,AUD
3582,USD,COLLECTIVE BRANDS INC,PSS,US19421W1009,COLLECTIVE BRANDS INC,PSS,,USD
3583,USD,COLLECTORS UNIVERSE,CLCT,US19421R2004,COLLECTORS UNIVERSE,CLCT,United States of America,USD
3584,USD,COLLEGIUM PHARMACEUTICAL INC,NMS,US19459J1043,COLLEGIUM PHARMACEUTICAL INC,COLL,United States of America,USD
3585,USD,COLLIERS INTERNATIONAL GROUP,NMS,CA1946931070,COLLIERS INTERNATIONAL GROUP,CIGI,Canada,USD
3586,AUD,COLLINS FOODS LTD,CKF,AU000000CKF7,COLLINS FOODS LTD,CKF,Australia,AUD
3587,USD,COLOMBIA ENERGY RESOURCES IN,NOINFO,US19529P2056,COLOMBIA ENERGY RESOURCES IN,CERX,United States of America,USD
3588,USD,"COLONIAL BANCGROUP, INC. (THE) SUB",CBCDQ,US1954934089,"COLONIAL BANCGROUP, INC. (THE) SUB",CBCDQ,United States of America,USD
3589,CAD,COLONIAL COAL INTERNATIONAL,CAD,CA1956151098,COLONIAL COAL INTERNATIONAL,CAD,Canada,CAD
3590,USD,COLONIAL PROPERTIES TRUST,CLP,US1958721060,COLONIAL PROPERTIES TRUST,CLP,,USD
3591,USD,COLONY BANKCORP,NMS,US19623P1012,COLONY BANKCORP,CBAN,United States of America,USD
3592,EUR,COLOPLAST-B,XETRA,DK0060448595,COLOPLAST-B,CBHD,Germany,EUR
3593,USD,COLORADO GOLDFIELDS INC-A,CGFI,US19647Y7085,COLORADO GOLDFIELDS INC-A,CGFI,,USD
3594,USD,COLORSTARS GROUP,CSTU,US19681Q1085,COLORSTARS GROUP,CSTU,,USD
3595,HKD,COLOUR LIFE SERVICES GROUP,1778,KYG229151058,COLOUR LIFE SERVICES GROUP,1778,Hong Kong,HKD
3596,CHF,COLTENE HOLDING AG-REG,CLTN,CH0025343259,COLTENE HOLDING AG-REG,CLTN,Switzerland,CHF
3597,USD,COLUMBIA BANKING SYSTEM INC,NMS,US1972361026,COLUMBIA BANKING SYSTEM INC,COLB,United States of America,USD
3598,CAD,COLUMBIA CARE INC,CCHW,CA1973091079,COLUMBIA CARE INC,CCHW,Canada,CAD
3599,USD,COLUMBIA FINANCIAL INC,NMS,US1976411033,COLUMBIA FINANCIAL INC,CLBK,United States of America,USD
3600,USD,COLUMBIA PROPERTY TRUST INC,CXP,US1982872038,COLUMBIA PROPERTY TRUST INC,CXP,United States of America,USD
3601,USD,COLUMBIA SPORTSWEAR CO,NMS,US1985161066,COLUMBIA SPORTSWEAR CO,COLM,Germany,USD
3602,USD,COLUMBIAN ROPE CO,NOINFO,US1986841021,COLUMBIAN ROPE CO,CRPE,United States of America,USD
3603,GBP,COLUMBUS ENERGY RESOURCES,CERP,GB00BDGJ2R22,COLUMBUS ENERGY RESOURCES,CERP,United Kingdom,GBP
3604,USD,COLUMBUS MCKINNON CORP/NY,NMS,US1993331057,COLUMBUS MCKINNON CORP/NY,CMCO,United States of America,USD
3605,USD,COM-GUARD.COM INC,LIMITED,US1997511084,COM-GUARD.COM INC,CGUD,United States of America,USD
3606,PLN,COMARCH SA,CMR,PLCOMAR00012,COMARCH SA,CMR,Poland,PLN
3607,HKD,COMBA TELECOM SYSTEMS HOLDIN,2342,KYG229721140,COMBA TELECOM SYSTEMS HOLDIN,2342,Hong Kong,HKD
3608,USD,COMBIMATRIX CORP,CBMX,US20009T5011,COMBIMATRIX CORP,CBMX,,USD
3609,USD,"COMCAST 2.0% EX SB 101529""ZONE",CCZ,US2003005079,"COMCAST 2.0% EX SB 101529""ZONE",CCZ,United States of America,USD
3610,EUR,COMDIRECT BANK AG,XETRA,DE0005428007,COMDIRECT BANK AG,COM,Germany,EUR
3611,USD,COMEPAY INC,LIMITED,US20036M1071,COMEPAY INC,CMPY,United States of America,USD
3612,USD,COMERICA INC,CMA,US2003401070,COMERICA INC,CMA,United States of America,
3613,USD,COMERTON CORP,NOINFO,US20036U1097,COMERTON CORP,COCM,United States of America,USD
3614,EUR,COMET HOLDING AG-REG,XETRA,CH0360826991,COMET HOLDING AG-REG,EZP1,Germany,EUR
3615,CAD,COMET INDUSTRIES,CMU,CA2003481009,COMET INDUSTRIES,CMU,Canada,CAD
3616,AUD,COMET RESOURCES LIMITED,CRL,AU000000CRL0,COMET RESOURCES LIMITED,CRL,Australia,AUD
3617,AUD,COMET RIDGE LTD,COI,AU000000COI3,COMET RIDGE LTD,COI,Australia,AUD
3618,USD,COMFORT SYSTEMS USA INC,FIX,US1999081045,COMFORT SYSTEMS USA INC,FIX,United States of America,USD
3619,SGD,COMFORTDELGRO CORP LTD,C52,SG1N31909426,COMFORTDELGRO CORP LTD,C52,Singapore,SGD
3620,CAD,COMMANDER RESOURCES LTD,CMD,CA2005023007,COMMANDER RESOURCES LTD,CMD,Canada,CAD
3621,USD,COMMERCE BANCSHARES INC,NMS,US2005251036,COMMERCE BANCSHARES INC,CBSH,United States of America,USD
3622,USD,COMMERCE GROUP CORP,NOINFO,US2006541013,COMMERCE GROUP CORP,CGCO,United States of America,USD
3623,EUR,COMMONWEALTH BANK OF AUSTRAL,XETRA,AU000000CBA7,COMMONWEALTH BANK OF AUSTRAL,CWW,Germany,EUR
3624,USD,COMMSCOPE HOLDING CO INC,NMS,US20337X1090,COMMSCOPE HOLDING CO INC,COMM,United States of America,USD
3625,USD,COMMUNITIES FIRST FINANCIAL,PREMQX,US20344D1046,COMMUNITIES FIRST FINANCIAL,CFST,United States of America,USD
3626,USD,COMMUNITY BANCORP,CBONQ,US20343T1007,COMMUNITY BANCORP,CBONQ,,USD
3627,USD,COMMUNITY BANCSHARES INC/OH,CURRENT,US20343K1097,COMMUNITY BANCSHARES INC/OH,CNUN,United States of America,USD
3628,USD,COMMUNITY BANK SYSTEM INC,CBU,US2036071064,COMMUNITY BANK SYSTEM INC,CBU,United States of America,USD
3629,USD,COMMUNITY BANKERS CP/MARION,CURRENT,US20361A1088,COMMUNITY BANKERS CP/MARION,CTYP,United States of America,USD
3630,USD,COMMUNITY BANKERS TRUST CORP,ESXB,US2036121067,COMMUNITY BANKERS TRUST CORP,ESXB,United States of America,USD
3631,USD,COMMUNITY CAP BANCSHARES INC,PRIMQX,US2036344073,COMMUNITY CAP BANCSHARES INC,ALBY,United States of America,USD
3632,USD,COMMUNITY FINANCIAL GR -WASH,CURRENT,US20365T1034,COMMUNITY FINANCIAL GR -WASH,CFGW,United States of America,USD
3633,USD,COMMUNITY FIRST BANCORP/SC,CURRENT,US2039161011,COMMUNITY FIRST BANCORP/SC,CFOK,United States of America,USD
3634,USD,COMMUNITY HEALTH SYSTEMS INC,CYH,US2036681086,COMMUNITY HEALTH SYSTEMS INC,CYH,United States of America,USD
3635,USD,COMMUNITY HEALTHCARE TRUST I,CHCT,US20369C1062,COMMUNITY HEALTHCARE TRUST I,CHCT,United States of America,USD
3636,USD,COMMUNITY HERITAGE FINANCIAL,CURRENT,US20370L1035,COMMUNITY HERITAGE FINANCIAL,CMHF,United States of America,USD
3637,USD,COMMUNITY INVESTORS BANCORP,CURRENT,US2037192083,COMMUNITY INVESTORS BANCORP,CIBN,United States of America,USD
3638,USD,COMMUNITY SHORES BANK CORP,CSHB,US2040461061,COMMUNITY SHORES BANK CORP,CSHB,United States of America,USD
3639,USD,COMMUNITY TRUST BANCORP INC,NMS,US2041491083,COMMUNITY TRUST BANCORP INC,CTBI,United States of America,USD
3640,USD,COMMUNITY WEST BANCSHARES,NMS,US2041571017,COMMUNITY WEST BANCSHARES,CWBC,United States of America,USD
3641,USD,COMMVAULT SYSTEMS INC,NMS,US2041661024,COMMVAULT SYSTEMS INC,CVLT,United States of America,USD
3642,USD,COMPASS DIVERSIFIED HOLDINGS,CODI,US20451Q1040,COMPASS DIVERSIFIED HOLDINGS,CODI,United States of America,USD
3643,CAD,COMPASS GOLD CORP,CVB,CA20451T4054,COMPASS GOLD CORP,CVB,Canada,CAD
3644,GBP,COMPASS GROUP PLC,SET1,GB00BD6K4575,COMPASS GROUP PLC,CPG,United Kingdom,GBP
3645,AUD,COMPASS HOTEL GROUP LTD,CXH,AU000000CXH6,COMPASS HOTEL GROUP LTD,CXH,,AUD
3646,USD,COMPASS MINERALS INTERNATION,CMP,US20451N1019,COMPASS MINERALS INTERNATION,CMP,United States of America,USD
3647,USD,COMPETITIVE COS INC,CCOP,US2045101019,COMPETITIVE COS INC,CCOP,,USD
3648,GBP,COMPTOIR GROUP PLC,ASQ1,GB00BYT1L205,COMPTOIR GROUP PLC,COM,United Kingdom,GBP
3649,INR,COMPUAGE INFOCOM LTD,COMPINFO,INE070C01037,COMPUAGE INFOCOM LTD,COMPINFO,India,INR
3650,INR,COMPUCOM SOFTWARE LIMITED,COMPUSOFT,INE453B01029,COMPUCOM SOFTWARE LIMITED,COMPUSOFT,India,INR
3651,USD,COMPUGEN LTD,NMS,IL0010852080,COMPUGEN LTD,CGEN,Israel,USD
3652,AUD,COMPUMEDICS LIMITED,CMP,AU000000CMP2,COMPUMEDICS LIMITED,CMP,Australia,AUD
3653,GBP,COMPUTACENTER PLC,STMM,GB00BV9FP302,COMPUTACENTER PLC,CCC,United Kingdom,GBP
3654,JPY,COMPUTER INSTITUTE OF JAPAN,4826,JP3346170008,COMPUTER INSTITUTE OF JAPAN,4826,Japan,JPY
3655,USD,COMPUTER PROGRAMS & SYSTEMS,NMS,US2053061030,COMPUTER PROGRAMS & SYSTEMS,CPSI,United States of America,USD
3656,USD,COMPUTER SERVICES INC,PREMQX,US20539A1051,COMPUTER SERVICES INC,CSVI,United States of America,USD
3657,USD,COMPUTER TASK GROUP INC,NMS,US2054771025,COMPUTER TASK GROUP INC,CTG,United States of America,USD
3658,AUD,COMPUTERSHARE LIMITED,CPU,AU000000CPU5,COMPUTERSHARE LIMITED,CPU,Australia,AUD
3659,HKD,COMPUTIME GROUP LTD,320,KYG2341T1031,COMPUTIME GROUP LTD,320,Hong Kong,HKD
3660,USD,COMPX INTERNATIONAL INC,CIX,US20563P1012,COMPX INTERNATIONAL INC,CIX,United States of America,USD
3661,USD,COMSCORE INC,NMS,US20564W1053,COMSCORE INC,SCOR,United States of America,USD
3662,USD,COMSTOCK HOLDING COMPANIES,SCM,US2056842022,COMSTOCK HOLDING COMPANIES,CHCI,United States of America,USD
3663,USD,COMSTOCK RESOURCES INC,CRK,US2057683029,COMSTOCK RESOURCES INC,CRK,United States of America,USD
3664,JPY,COMSYS HOLDINGS CORP,1721,JP3305530002,COMSYS HOLDINGS CORP,1721,Japan,JPY
